EbN0_dB,BER,FER
4.000000000000000000e+00,2.800000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.470000000000000061e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.449999999999999881e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.439999999999999924e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.420000000000000010e-07
4.000000000000000000e+00,3.100000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,3.100000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,3.100000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,3.200000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,3.300000000000000000e+01,1.580000000000000119e-07
4.000000000000000000e+00,3.300000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,3.300000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,3.300000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,3.300000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,3.400000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,3.400000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,3.400000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,3.500000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,3.500000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,3.600000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,3.700000000000000000e+01,1.590000000000000076e-07
4.000000000000000000e+00,3.800000000000000000e+01,1.650000000000000084e-07
4.000000000000000000e+00,3.800000000000000000e+01,1.629999999999999905e-07
4.000000000000000000e+00,3.800000000000000000e+01,1.619999999999999948e-07
4.000000000000000000e+00,3.900000000000000000e+01,1.660000000000000041e-07
4.000000000000000000e+00,3.900000000000000000e+01,1.650000000000000084e-07
4.000000000000000000e+00,3.900000000000000000e+01,1.629999999999999905e-07
4.000000000000000000e+00,4.000000000000000000e+01,1.660000000000000041e-07
4.000000000000000000e+00,4.000000000000000000e+01,1.640000000000000127e-07
4.000000000000000000e+00,4.000000000000000000e+01,1.629999999999999905e-07
4.000000000000000000e+00,4.000000000000000000e+01,1.619999999999999948e-07
4.000000000000000000e+00,4.100000000000000000e+01,1.629999999999999905e-07
4.000000000000000000e+00,4.200000000000000000e+01,1.660000000000000041e-07
4.000000000000000000e+00,4.300000000000000000e+01,1.669999999999999999e-07
4.000000000000000000e+00,4.300000000000000000e+01,1.650000000000000084e-07
4.000000000000000000e+00,4.300000000000000000e+01,1.640000000000000127e-07
4.000000000000000000e+00,4.300000000000000000e+01,1.629999999999999905e-07
4.000000000000000000e+00,4.300000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,4.400000000000000000e+01,1.640000000000000127e-07
4.000000000000000000e+00,4.500000000000000000e+01,1.660000000000000041e-07
4.000000000000000000e+00,4.600000000000000000e+01,1.689999999999999913e-07
4.000000000000000000e+00,4.600000000000000000e+01,1.669999999999999999e-07
4.000000000000000000e+00,4.600000000000000000e+01,1.660000000000000041e-07
4.000000000000000000e+00,4.600000000000000000e+01,1.650000000000000084e-07
4.000000000000000000e+00,4.800000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,5.000000000000000000e+01,1.780000000000000057e-07
4.000000000000000000e+00,5.000000000000000000e+01,1.770000000000000100e-07
4.000000000000000000e+00,5.000000000000000000e+01,1.749999999999999921e-07
4.000000000000000000e+00,5.100000000000000000e+01,1.759999999999999878e-07
4.000000000000000000e+00,5.200000000000000000e+01,1.790000000000000014e-07
4.000000000000000000e+00,5.200000000000000000e+01,1.770000000000000100e-07
4.000000000000000000e+00,5.300000000000000000e+01,1.799999999999999971e-07
4.000000000000000000e+00,5.300000000000000000e+01,1.790000000000000014e-07
4.000000000000000000e+00,5.300000000000000000e+01,1.770000000000000100e-07
4.000000000000000000e+00,5.400000000000000000e+01,1.799999999999999971e-07
4.000000000000000000e+00,5.400000000000000000e+01,1.780000000000000057e-07
4.000000000000000000e+00,5.400000000000000000e+01,1.770000000000000100e-07
4.000000000000000000e+00,5.400000000000000000e+01,1.759999999999999878e-07
4.000000000000000000e+00,5.400000000000000000e+01,1.749999999999999921e-07
4.000000000000000000e+00,5.400000000000000000e+01,1.739999999999999964e-07
4.000000000000000000e+00,5.400000000000000000e+01,1.720000000000000049e-07
4.000000000000000000e+00,5.400000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,5.500000000000000000e+01,1.730000000000000006e-07
4.000000000000000000e+00,5.500000000000000000e+01,1.720000000000000049e-07
4.000000000000000000e+00,5.600000000000000000e+01,1.739999999999999964e-07
4.000000000000000000e+00,5.700000000000000000e+01,1.759999999999999878e-07
4.000000000000000000e+00,5.700000000000000000e+01,1.749999999999999921e-07
4.000000000000000000e+00,5.700000000000000000e+01,1.739999999999999964e-07
4.000000000000000000e+00,5.700000000000000000e+01,1.720000000000000049e-07
4.000000000000000000e+00,5.700000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,5.700000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,5.700000000000000000e+01,1.689999999999999913e-07
4.000000000000000000e+00,5.700000000000000000e+01,1.679999999999999956e-07
4.000000000000000000e+00,5.900000000000000000e+01,1.720000000000000049e-07
4.000000000000000000e+00,5.900000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,5.900000000000000000e+01,1.689999999999999913e-07
4.000000000000000000e+00,6.000000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,6.000000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,6.100000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,6.100000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,6.100000000000000000e+01,1.689999999999999913e-07
4.000000000000000000e+00,6.100000000000000000e+01,1.679999999999999956e-07
4.000000000000000000e+00,6.100000000000000000e+01,1.669999999999999999e-07
4.000000000000000000e+00,6.300000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,6.400000000000000000e+01,1.720000000000000049e-07
4.000000000000000000e+00,6.400000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,6.400000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,6.400000000000000000e+01,1.689999999999999913e-07
4.000000000000000000e+00,6.400000000000000000e+01,1.679999999999999956e-07
4.000000000000000000e+00,6.500000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,6.500000000000000000e+01,1.689999999999999913e-07
4.000000000000000000e+00,6.500000000000000000e+01,1.679999999999999956e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.699999999999999870e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.689999999999999913e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.679999999999999956e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.669999999999999999e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.660000000000000041e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.650000000000000084e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.640000000000000127e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.629999999999999905e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.629999999999999905e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.619999999999999948e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,6.700000000000000000e+01,1.600000000000000033e-07
4.000000000000000000e+00,6.800000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,6.800000000000000000e+01,1.600000000000000033e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.619999999999999948e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.600000000000000033e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.590000000000000076e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.590000000000000076e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.580000000000000119e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.569999999999999897e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,6.900000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,7.000000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,7.000000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,7.000000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,7.000000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,7.000000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,7.000000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,7.000000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,7.100000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,7.200000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,7.300000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,7.300000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,7.300000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,7.400000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,7.400000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,7.400000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,7.400000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,7.400000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,7.400000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,7.400000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,7.500000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,7.500000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,7.500000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,7.500000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,7.500000000000000000e+01,1.489999999999999975e-07
4.000000000000000000e+00,7.500000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,7.500000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,7.600000000000000000e+01,1.489999999999999975e-07
4.000000000000000000e+00,7.600000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,7.600000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,7.600000000000000000e+01,1.470000000000000061e-07
4.000000000000000000e+00,7.600000000000000000e+01,1.460000000000000103e-07
4.000000000000000000e+00,7.800000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,7.800000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,7.800000000000000000e+01,1.489999999999999975e-07
4.000000000000000000e+00,7.800000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,7.800000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,7.800000000000000000e+01,1.470000000000000061e-07
